SITE NAME,COUNTRY,LATITUDE,LONGITUDE,MODIS SITE ID,FLUXNET ID,FLUXNET KEY ID
,,,,,,
Tomakomai National Forest,Japan,42.73697,141.51864,fn_jptomako,JP-Tom,jp.tomakomai.01
Arvaikheer,Mongolia,46.23382,102.82512,fn_mnarvaik,MN-Arv,mn.arvaikheer.01
Brasschaat (De Inslag Forest),Belgium,51.30917,4.52056,fn_bebrasch,BE-Bra,be.braschaat.01
Soroe- LilleBogeskov,Denmark,55.48694,11.64583,fn_dksorohw,DK-Sor,dk.soro_hardwood.01
Store Ebberup,Denmark,55.4833,11.6333,fn_dkstoreb,DK-Sto,dk.store_ebberup.01
Hyytiala,Finland,61.84742,24.29477,fn_fihyytia,FI-Hyy,fi.hyytiala.01
Kaamanen wetland,Finland,69.140694,27.29503,fn_fikaaman,FI-Kaa,fi.kaamanen.01
Sodankyla,Finland,67.36186,26.63783,fn_fisodank,FI-Sod,fi.sodankyla.01
Hesse Forest- Sarrebourg,France,48.67422,7.06462,fn_frhesse,FR-Hes,fr.hesse.01
Le Bray (after 6/28/1998),France,44.71711,-0.7693,fn_frlebray,FR-LBr,fr.bordeaux.01
Puechabon,France,43.74139,3.59583,fn_frpuecha,FR-Pue,fr.puechabon.01
Gebesee,Germany,51.1001,10.9143,fn_degebese,DE-Geb,de.gebesee.01
Hainich,Germany,51.07927,10.452176,fn_dehainic,DE-Hai,de.hainich_park.01
Charlie Lake 1,Canada,45.8847,-67.3569,fn_cacharl1,CA-Cha,ca.charlie1.01
New Brunswick- Nashwaak Lake 1,Canada,46.4722,-67.1,fn_canashw1,CA-Na1,ca.nashwaak1.01
New Brunswick- Nashwaak Lake 2,Canada,46.47583,-67.07694,fn_canashw2,CA-Na2,ca.nashwaak2.01
Ontario- Groundhog River-Mature Boreal Mixed Wood,Canada,48.2167,-82.1556,fn_cagrndhg,CA-Gro,ca.groundhogriver.01
Quebec Boreal Cutover Site,Canada,49.26712,-74.0365,fn_caquebct,CA-Qcu,ca.quebeccutover.01
Quebec Mature Boreal Forest Site,Canada,49.6925,-74.34206,fn_caquebft,CA-Qfo,ca.quebecforest.01
Sask- 1994 Harv. Jack Pine,Canada,53.908,-104.656,fn_cajp1994,CA-SJ1,ca.ssa_jackpine_1994.01
Sask- 2002 Harvested Jack Pine,Canada,53.945,-104.649,fn_cajp2002,CA-SJ2,ca.ssa_jackpine_2002.01
Sask- SSA 1975 Harv Yng Jack Pine,Canada,53.87581,-104.64529,fn_cassyjp2,CA-SJ3,ca.ssa_yngjackpine.01
Sask- SSA Fen,Canada,53.80206,-104.61798,fn_cassafen,CA-SFe,ca.ssa_fen.01
Sask- SSA Old Aspen,Canada,53.62889,-106.19779,fn_cassaoap,CA-Oas,ca.oldaspen.01
Sask- SSA Old Black Spruce,Canada,53.98717,-105.11779,fn_cassaobs,CA-Obs,ca.oldblackspruce.01
Sask- SSA Old Jack Pine,Canada,53.91634,-104.69203,fn_cassaojp,CA-Ojp,ca.oldjackpine.01
Sask- Fire 1989,Canada,54.25392,-105.8775,fn_cafr1989,CA-SF2,ca.ssa_fire_1989.01
Sask- Fire 1998,Canada,54.09156,-106.00526,fn_cafr1998,CA-SF3,ca.ssa_fire_1998.01
Suwon Suburban Rice Paddy,Korea,37.26947,126.94022,fn_krsuwonp,KR-Suw,kr.suwon.01
Mixed Vegetation Site,Thailand,16.93986,99.42986,fn_thmixveg,TH-Mix,th.mixedvegetation.01
Braganca (Para),Brazil,-0.72371,-48.5081,fn_brbragan,BR-Bra,br.braganca.01
Manaus - ZF2 C14,Brazil,-2.5892,-60.1149,fn_brmana14,BR-Ma1,br.manaus_zf2km14.01
Manaus - ZF2 K34,Brazil,-2.6091,-60.2093,fn_brmana34,BR-Ma2,br.manaus_zf2km34.01
Rond.- Faz. Nossa Senhora-Ji Parana-pasture,Brazil,-10.76181,-62.35722,fn_brjipapa,BR-Ji1,br.jiparana_pasture.01
Rond.- Rebio Jaru Ji Parana- Tower A,Brazil,-10.08319,-61.9309,fn_br00jipa,BR-Ji2,br.jiparana_towera.01
Rond.- Rebio Jaru Ji Parana- Tower B,Brazil,-10.07806,-61.9331,fn_brjipatb,BR-Ji3,br.jiparana_towerb.02
Sinop- Mato Grosso,Brazil,-11.41229,-55.3247,fn_brmatogr,BR-Mtg,br.matogrosso_sinop.01
Santarem-Km67-Primary Forest,Brazil,-2.85667,-54.95889,fn_br00sant,BR-Sa1,br.santarem_forest.01
Santarem-Km77-Pasture,Brazil,-3.0119,-54.53652,fn_brsant77,BR-Sa2,br.santarem_km77_pasture.01
Santarem-Km83-Logged Forest,Brazil,-3.01803,-54.97144,fn_brsant83,BR-Sa3,br.santarem_km83_loggedforest.01
Zobelboden,Austria,47.83831,14.43835,fn_atzobelb,N/A,N/A
Ghanzi/Okwa River Crossing,Botswana,-22.40917,21.71306,fn_bwghanzi,N/A,bw.ghanzi.01
Pandamatenga,Botswana,-18.65528,25.50028,fn_bwpandam,BW-Pan,bw.pandamatenga.01
Tshane,Botswana,-24.16417,21.89278,fn_bwtshane,BW-Tsh,bw.tshane.01
Acadia Road 16,Canada,46.0167,-66.3694,fn_caaca16,N/A,N/A
UCI-1930 burn site,Canada,55.90583,-98.52472,fn_cansa30,CA-NS2,ca.nsa_burn_1930.01
UCI-1964 burn site,Canada,55.91167,-98.38222,fn_cansab63,CA-NS3,ca.nsa_burn_1964.01
UCI-1981 burn site,Canada,55.86306,-98.485,fn_cansab81,CA-NS5,ca.nsa_burn_1981.01
UCI-1989 burn site,Canada,55.91667,-98.96444,fn_cansab89,CA-NS6,ca.nsa_burn_1989.01
UCI-1998 burn site,Canada,56.63583,-99.94833,fn_cansab98,CA-NS7,ca.nsa_burn_1998.01
Lethbridge,Canada,49.70928,-112.94017,fn_calethbr,CA-Let,ca.lethbridge.01
La Selva,Costa Rica,10.42333,-84.02111,fn_crlaselv,CR-Lse,cr.la_selva.01
La Paz,Mexico,24.12925,-110.43803,fn_mxlapaz,MX-Lpa,mx.lapaz.01
Atqasuk- Alaska,USA,70.46961,-157.40894,fn_usatqasu,US-Atq,us.atqasuk.01
Barrow- Alaska,USA,71.32252,-156.62588,fn_usakbarr,US-Brw,us.barrow.01
Upad- Alaska,USA,70.28147,-148.88483,fn_usupadal,US-Upa,us.prudhoe.01
Audubon Research Ranch- Arizona,USA,31.59073,-110.51038,fn_usaudubn,US-ARR,us.audubon.01
Blodgett Forest- California,USA,38.89525,-120.63275,fn_uscablod,US-Blo,us.blodgett_forest.01
Jasper Ridge- California,USA,37.40213,-122.22103,fn_usjasper,US-Jas,us.jasper_ridge.01
Sky Oaks- Old Stand-  California,USA,33.37389,-116.62289,fn_uscaskyo,US-SO2,us.sky_oaks_old.01
Sky Oaks- Young Stand-  California,USA,33.37719,-116.62269,fn_uscaskyy,US-SO3,us.sky_oaks_yng.01
Tonzi Ranch- California,USA,38.4316,-120.96598,fn_ustonzir,US-Ton,us.tonzi.01
Vaira Ranch- Ione- California,USA,38.40667,-120.95073,fn_usvairar,US-Vai,us.vaira_ranch.01
Niwot Ridge Forest- Colorado (LTER NWT1),USA,40.03288,-105.5464,fn_usniwot1,US-NR1,us.niwot_ridge.01
Florida-Kennedy Space Center (scrub oak),USA,28.60858,-80.67153,fn_usksfcso,US-KS2,us.ksc_scruboak.01
Florida-Kennedy Space Center (slash pine),USA,28.4583,-80.6709,fn_usksfcsp,US-KS1,us.ksc_pine_flatwoods.01
Cypress wetland-Florida,USA,29.77043,-82.2081,fn_uscypres,US-Cyp,us.cypress_bald.01
Slashpine-Austin Cary- 65yrs nat regen-FL,USA,29.73807,-82.21877,fn_ussplong,US-SP1,us.slash_longleaf_regen.01
Slashpine-Donaldson-mid-rot- 12yrs-FL,USA,29.75477,-82.16328,fn_usspmid1,US-SP3,us.slash_pine_mid.01
Slashpine-Mize-clearcut-3yr-regen-FL,USA,29.7648,-82.24482,fn_usspcler,US-SP2,us.slash_pine_clear.01
Slashpine-Rayonier-mid-rot- 12yrs-FL,USA,29.80282,-82.20315,fn_usspmidb,US-SP4,us.slash_pine_mid_burn.01
Bondville- Illinois,USA,40.0061,-88.29187,fn_usilbond,US-Bo1,us.bondville.01
Konza Prairie LTER- Kansas (KNZ),USA,39.08239,-96.56028,fn_uskskonz,US-Kon,us.konza.01
Mead - rainfed maize-soybean rotation site- Nebraska,USA,41.17967,-96.43965,fn_usmeadrf,US-Ne3,us.mead_maize_soybean_rainfed.01
Ruokolahti,Finland,61.53,28.72,fn_firuokol,N/A,N/A
